Sample_Date,Mean viral gene copies/L
06/05/24,3976209
06/09/24,5666617
06/10/24,5061246
06/11/24,4952637
06/12/24,3409448
06/16/24,10574491
06/17/24,6005014
06/18/24,12741390
06/19/24,15405499
06/23/24,4875926
06/24/24,4912284
06/25/24,6114880
06/26/24,5015532
06/30/24,7479330
07/01/24,7229453
07/03/24,7888219
07/04/24,6868493
07/07/24,7696163
07/08/24,7419536
07/09/24,6318823
07/10/24,8423206
07/14/24,9545284
07/15/24,11869802
07/16/24,10407416
07/17/24,11574896
07/21/24,9357097
07/22/24,9038685
07/23/24,7320413
07/24/24,7188864
07/28/24,9826146
07/29/24,7132434
07/30/24,7452637
07/31/24,8171876
08/04/24,9606389
08/05/24,10952724
08/06/24,13085052
08/07/24,9558193
08/11/24,8993606
08/12/24,6876436
08/13/24,11078072
08/14/24,5400754
08/18/24,16529415
08/20/24,17200872
08/25/24,9671350
08/27/24,10005147
08/28/24,9647873
09/01/24,8088097
09/02/24,6888028
09/03/24,4789109
09/08/24,5436444
09/10/24,7738308
